repetition	sampled_tips	observed_trees	p	R	R_min	R_max	infectious_time	infectious_time_min	infectious_time_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max
1	11117	8838	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
2	11109	8833	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
3	11122	8844	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
4	11119	8838	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.45
5	11116	8829	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
6	11111	8827	0.58	1.24	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
7	11119	8838	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
8	11111	8830	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
9	11120	8833	0.58	1.23	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.45
10	11112	8827	0.58	1.24	1.20	1.27	2.32	2.25	2.39	0.53	0.52	0.55	0.43	0.42	0.44
